Type,Nom,Pays,Note,Nb_votes,image
Série,The Penthouse,Corée , 9.2 ,24788,https://6.vikiplatform.com/image/220415a8e07d4eed9e82373c0962ae6d.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE The Sweet Blood,Corée , 8.9 ,2012,https://6.vikiplatform.com/image/4974bb047c9744fba3f2519b8f62791d.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE Tu es mon héros,Chine Continentale , 9.5 ,5478,https://6.vikiplatform.com/image/2fb5571e0da941b8b2c27bd08357f6f5.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,True Beauty,Corée , 9.6 ,143241,https://6.vikiplatform.com/image/8533baa0008c4c5e8ca20ba75d956713.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,The Penthouse 2 (Le Penthouse 2),Corée , 9.5 ,13558,https://6.vikiplatform.com/image/164f623344524cd08b652be42b37739f.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Qu'est-ce qui cloche chez la sec...,Corée , 9.7 ,324689,https://6.vikiplatform.com/image/9cddea5d560a4055a688e4ac6c70b84b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Le conte des neuf queues,Corée , 9.6 ,72810,https://6.vikiplatform.com/image/f4db244000c2470e9e1cdb608055007c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,My Little Happiness (Mon petit b...,Chine Continentale , 9.6 ,41897,https://6.vikiplatform.com/image/c809fb6a50cd437da6dc67d90a6ef226.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Mr. Queen,Corée , 9.7 ,87959,https://6.vikiplatform.com/image/d9537ce12d604b259fda9eac8b62c242.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE A Love Story: You Are the Greate...,Chine Continentale , 9.3 ,4102,https://6.vikiplatform.com/image/f656767b168049e7bec9bdf54a6bf58b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE Kingdom: Legendary War (Kingdom ...,Corée , 9.6 ,1140,https://6.vikiplatform.com/image/486cf2b7b38c49a78e97ac0618de8384.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Extraordinary You,Corée , 9.4 ,23148,https://6.vikiplatform.com/image/5d49d68cf70644c7bb0c7a1ea8f25ff7.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE La rivière où la lune se lève,Corée , 8.3 ,3009,https://6.vikiplatform.com/image/e841647d4f1f4a6da90c2118b35ec16b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Gobelin,Corée , 9.7 ,94393,https://6.vikiplatform.com/image/0691b83162c248128e8c8dd840ed27e6.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE L'épée et le brocart,Chine Continentale , 9.4 ,7537,https://6.vikiplatform.com/image/9c730034db084a3c9e4a805eb1b12ffe.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,La Fleur du Mal,Corée , 9.7 ,111366,https://6.vikiplatform.com/image/aac0ccfc67f9463f9dc77ed9d6e174eb.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE The Long Ballad (La Longue Ballade),Chine Continentale , 9.4 ,1558,https://6.vikiplatform.com/image/50709c6aa11143099e41bb8ddc45c26c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Pendant ton sommeil,Corée , 9.6 ,137928,https://1.viki.io/c/33538c/while-you-were-sleeping-1560x872_highresolution.jpg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,The Penthouse,Corée , 9.2 ,24788,https://6.vikiplatform.com/image/220415a8e07d4eed9e82373c0962ae6d.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE The Sweet Blood,Corée , 8.9 ,2012,https://6.vikiplatform.com/image/4974bb047c9744fba3f2519b8f62791d.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE Tu es mon héros,Chine Continentale , 9.5 ,5478,https://6.vikiplatform.com/image/2fb5571e0da941b8b2c27bd08357f6f5.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,True Beauty,Corée , 9.6 ,143241,https://6.vikiplatform.com/image/8533baa0008c4c5e8ca20ba75d956713.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,The Penthouse 2 (Le Penthouse 2),Corée , 9.5 ,13558,https://6.vikiplatform.com/image/164f623344524cd08b652be42b37739f.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Qu'est-ce qui cloche chez la sec...,Corée , 9.7 ,324689,https://6.vikiplatform.com/image/9cddea5d560a4055a688e4ac6c70b84b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Le conte des neuf queues,Corée , 9.6 ,72810,https://6.vikiplatform.com/image/f4db244000c2470e9e1cdb608055007c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,My Little Happiness (Mon petit b...,Chine Continentale , 9.6 ,41897,https://6.vikiplatform.com/image/c809fb6a50cd437da6dc67d90a6ef226.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Mr. Queen,Corée , 9.7 ,87959,https://6.vikiplatform.com/image/d9537ce12d604b259fda9eac8b62c242.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE A Love Story: You Are the Greate...,Chine Continentale , 9.3 ,4102,https://6.vikiplatform.com/image/f656767b168049e7bec9bdf54a6bf58b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE Kingdom: Legendary War (Kingdom ...,Corée , 9.6 ,1140,https://6.vikiplatform.com/image/486cf2b7b38c49a78e97ac0618de8384.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Extraordinary You,Corée , 9.4 ,23148,https://6.vikiplatform.com/image/5d49d68cf70644c7bb0c7a1ea8f25ff7.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE La rivière où la lune se lève,Corée , 8.3 ,3009,https://6.vikiplatform.com/image/e841647d4f1f4a6da90c2118b35ec16b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Gobelin,Corée , 9.7 ,94393,https://6.vikiplatform.com/image/0691b83162c248128e8c8dd840ed27e6.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE L'épée et le brocart,Chine Continentale , 9.4 ,7537,https://6.vikiplatform.com/image/9c730034db084a3c9e4a805eb1b12ffe.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,La Fleur du Mal,Corée , 9.7 ,111366,https://6.vikiplatform.com/image/aac0ccfc67f9463f9dc77ed9d6e174eb.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE The Long Ballad (La Longue Ballade),Chine Continentale , 9.4 ,1558,https://6.vikiplatform.com/image/50709c6aa11143099e41bb8ddc45c26c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Pendant ton sommeil,Corée , 9.6 ,137928,https://1.viki.io/c/33538c/while-you-were-sleeping-1560x872_highresolution.jpg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,Go Go Squid!,Chine Continentale , 9.6 ,98645,https://6.vikiplatform.com/image/a4f2f6706fe64b1594d8eec84918f673.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Tu es ma destinée,Chine Continentale , 9.4 ,77470,https://6.vikiplatform.com/image/f50be54d9e16469fbeaaf2b2cb359b68.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,The Blooms at Ruyi Pavilion (Les...,Chine Continentale , 9.2 ,9361,https://6.vikiplatform.com/image/37454b044250489ca698b4b08f73869c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Weightlifting Fairy Kim Bok Joo,Corée , 9.7 ,89808,https://6.vikiplatform.com/image/037050b4edde4d5580997ab586dd70b5.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,L'amour avec des défauts,Corée , 9.1 ,19913,https://6.vikiplatform.com/image/0c47baa6ab9545adbc42896779ee2346.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Love Unexpected,Chine Continentale , 9.1 ,4729,https://6.vikiplatform.com/image/98167b2221334946b1296b4e94c00eb3.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,W,Corée , 9.6 ,104020,https://6.vikiplatform.com/image/72cb164bcb2846eaaea7f1dd675dcf73.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
